"TOA5","CR1000-Admin Met","CR1000","52119","CR1000.Std.25","CPU:WXT520-30,60.Rain-1-10-16.CR1","19841","Admin"
"TIMESTAMP","RECORD","Ws_Mean","Wd_MeanUnitVector","Wd_StdDev","AirTemp_Avg","RelHumidity","AirPressure","Ramount_Tot","Hamount_Tot"
"TS","RN","mph","Deg","Deg","Celsius","%","hPa","in","hits/cm2"
"","","WVc","WVc","WVc","Avg","Smp","Smp","Tot","Tot"
"2016-01-18 22:00:00",197,4.953,328.3,12.32,44.96,75.9,645.1,0,0
"2016-01-18 23:00:00",198,5.28,322.6,9.8,43.98,62.5,645.2,0,0
"2016-01-19 00:00:00",199,6.408,316.1,15.79,45.2,70,645.2,0,0
"2016-01-19 01:00:00",200,4.047,323.8,30.45,44.37,62.2,644.9,0,0
"2016-01-19 02:00:00",201,3.316,78.33,23.87,42.89,76.5,644.7,0,0
"2016-01-19 03:00:00",202,2.228,58.17,20.66,41.95,67.5,644.3,0,0
"2016-01-19 04:00:00",203,3.192,25.73,15.31,41.72,70.4,644.3,0,0
"2016-01-19 05:00:00",204,2.056,46.99,38.94,40,74,644.3,0,0
"2016-01-19 06:00:00",205,1.985,305.1,40.58,39.62,72.3,644.5,0,0
"2016-01-19 07:00:00",206,3.505,302.1,23.18,40.85,72,644.9,0,0
"2016-01-19 08:00:00",207,3.041,0.663,27.89,40.04,70.1,645,0,0
"2016-01-19 09:00:00",208,4.065,291.1,40.69,43.87,63.1,645.2,0,0
"2016-01-19 10:00:00",209,6.039,50.78,31.44,46,58.6,645.5,0,0
"2016-01-19 11:00:00",210,3.236,120.4,55.99,47.99,41.2,644.9,0,0
"2016-01-19 12:00:00",211,7.253,242.1,20.93,52.39,33,644.1,0,0
"2016-01-19 13:00:00",212,8.79,242.4,22.06,52.51,42,643.5,0,0
"2016-01-19 14:00:00",213,9.9,253.9,15.78,50.98,46.8,643.1,0.009,0
"2016-01-19 15:00:00",214,8.95,250.6,14.6,47.56,72.1,643.3,0.08,0
"2016-01-19 16:00:00",215,12.58,252.3,11.22,45.92,73.5,643.7,0.212,0
"2016-01-19 17:00:00",216,19.57,262,8.07,43.74,77.7,643.3,0.177,0
